

#                 TEMP                   CHI_S                   C_V_S                     E_S                     M_S
# --------------------    --------------------    --------------------    --------------------    --------------------
          0.0000000000            0.0000000000            0.0000000000           -2.0000000000           -1.0000000000
          0.1000000015            0.0000152588            0.0000000000           -1.9999984503           -0.9999995828
          0.2000000030            0.0000152588         3147.9394531250           -8.1285877228           -0.9999998212
          0.3000000119            0.0000000000           35.2402343750          -10.1260108948           -0.9999997020
          0.4000000060            0.0000152588           35.2441406250          -10.1260099411           -0.9999998212
          0.5000000000           -0.0000152588           35.2421875000          -10.1260108948           -0.9999999404
          0.6000000238           -0.0000152588           35.1894531250          -10.1260070801           -0.9999969006
          0.7000000477            0.0000152588           35.0214843750          -10.1259660721           -0.9999787211
          0.8000000715           -0.0000152588           34.2382812500          -10.1258201599           -0.9999068975
          0.9000000954            0.0000000000           32.1601562500          -10.1253871918           -0.9997082949
          1.0000001192           -0.0000457764           28.5800781250          -10.1243190765           -0.9992762208
          1.1000001431           -0.0004119873           21.9902343750          -10.1222009659           -0.9984391928
          1.2000001669           -0.0014038086           14.0507812500          -10.1183557510           -0.9970650077
          1.3000001907           -0.0037078857            6.1777343750          -10.1112823486           -0.9948042035
          1.4000002146           -0.0084228516            0.2656250000          -10.1001596451           -0.9914063215
          1.5000002384           -0.0108184814           -2.0937500000          -10.0843839645           -0.9866834879
          1.6000002623           -0.0043945312           -2.1855468750          -10.0609321594           -0.9795193076
          1.7000002861            0.0360565186           -0.7441406250          -10.0311470032           -0.9700180292
          1.8000003099            0.1334381104            1.2910156250           -9.9921903610           -0.9569302201
          1.9000003338            0.3451385498            2.0937500000           -9.9417295456           -0.9381144643
          2.0000002384            0.7667388916            2.1464843750           -9.8777236938           -0.9110296369
          2.1000001431            2.1458435059            3.0332031250           -9.7942609787           -0.8682402372
          2.2000000477          164.0683288574            5.9433593750           -9.6783704758            0.0161515623
          2.2999999523          127.6285247803            7.3964843750           -9.5517539978           -0.0522599220
          2.3999998569           81.7601547241            8.2636718750           -9.3960275650           -0.0597619526
          2.4999997616           52.0333442688            6.1933593750           -9.2885665894           -0.0192155465
          2.5999996662           34.7596778870            5.9296875000           -9.2051191330            0.0130475778
          2.6999995708           23.5125503540            5.9199218750           -9.1442222595           -0.0068617971
          2.7999994755           17.8213005066            5.7031250000           -9.0973949432            0.0001921875
          2.8999993801           14.1580295563            5.6894531250           -9.0488042831            0.0077928123
          2.9999992847           11.7907419205            5.4335937500           -9.0064601898           -0.0054148436
          3.0999991894            9.7713785172            5.0937500000           -8.9663133621           -0.0009846094
          3.1999990940            8.4188795090            4.5371093750           -8.9316921234            0.0001234375
          3.2999989986            7.7077116966            4.5839843750           -8.9010734558            0.0010917969
          3.3999989033            6.8652229309            4.0000000000           -8.8743867874            0.0025242970
          3.4999988079            6.1585202217            3.7207031250           -8.8467874527            0.0025077343
          3.5999987125            5.7182416916            3.0820312500           -8.8253078461            0.0005843750
          3.6999986172            5.1128163338            2.8535156250           -8.8010072708           -0.0006601562
          3.7999985218            4.8186264038            2.3203125000           -8.7769060135            0.0011465625
          3.8999984264            4.5327529907            1.4375000000           -8.7471837997            0.0011974219
          3.9999983311            4.2555446625            1.4941406250           -8.7284145355            0.0009190625
