

#                 TEMP                   CHI_S                   C_V_S                     E_S                     M_S
# --------------------    --------------------    --------------------    --------------------    --------------------
          0.0000000000            0.0000000000            0.0000000000           -2.0000000000            1.0000000000
          0.1000000015            0.0000000000           -0.0000610352           -1.9999978542            0.9999994636
          0.2000000030            0.0000000000            0.0000000000           -2.0000000000            1.0000000000
          0.3000000119            0.0000000000            0.0000000000           -1.9999990463            0.9999997616
          0.4000000060            0.0000152588            0.0000000000           -1.9999994040            0.9999998212
          0.5000000000            0.0000000000            0.0000000000           -1.9999969006            0.9999992251
          0.6000000238            0.0000000000            0.0000000000           -1.9999878407            0.9999969602
          0.7000000477            0.0000152588            0.0000000000           -1.9999039173            0.9999759197
          0.8000000715            0.0000000000            0.0000610352           -1.9996182919            0.9999039769
          0.9000000954           -0.0000305176            0.0003662109           -1.9988517761            0.9997092485
          1.0000001192           -0.0001068115            0.0001220703           -1.9971511364            0.9992745519
          1.1000001431           -0.0003967285           -0.0009765625           -1.9940354824            0.9984614849
          1.2000001669           -0.0012817383           -0.0017089844           -1.9886070490            0.9970242381
          1.3000001907           -0.0039062500            0.0030517578           -1.9804139137            0.9948238134
          1.4000002146           -0.0082550049            0.0349121094           -1.9679584503            0.9913515449
          1.5000002384           -0.0122375488            0.1532592773           -1.9508448839            0.9864214063
          1.6000002623           -0.0041046143            0.4099731445           -1.9281895161            0.9795943499
          1.7000002861            0.0337524414            0.8430175781           -1.8982472420            0.9701135755
          1.8000003099            0.1306762695            1.4495239258           -1.8591719866            0.9568680525
          1.9000003338            0.3497924805            2.2081909180           -1.8094171286            0.9382177591
          2.0000002384            0.7498626709            3.0433349609           -1.7464284897            0.9118769765
          2.1000001431           35.9769287109            4.3092651367           -1.6590265036            0.7878814936
          2.2000000477          165.6733398438            6.5588378906           -1.5424871445            0.0670086741
          2.2999999523          127.4345703125            8.2753295898           -1.4010756016           -0.0245710947
          2.3999998569           83.4242095947            8.1780395508           -1.2491520643            0.0260311719
          2.4999997616           50.4775505066            6.6656494141           -1.1286760569            0.0131860152
          2.5999996662           32.8755950928            5.3426208496           -1.0323114395            0.0011964062
          2.6999995708           24.2162857056            4.7693328857           -0.9754897952           -0.0115346871
          2.7999994755           18.0860977173            4.2151336670           -0.9264512658           -0.0054368749
          2.8999993801           14.2065010071            3.9123535156           -0.8836047649            0.0036914845
          2.9999992847           11.4907274246            3.7100677490           -0.8404003382           -0.0007485938
          3.0999991894            9.8992147446            3.5347900391           -0.8033734560           -0.0020052344
          3.1999990940            8.5275716782            3.3370361328           -0.7686316967            0.0007158594
          3.2999989986            7.3835515976            3.2527313232           -0.7369878292           -0.0036749218
          3.3999989033            6.8132314682            3.1619873047           -0.7091945410           -0.0022712499
          3.4999988079            6.0568413734            3.0446243286           -0.6830187440           -0.0009548438
          3.5999987125            5.6323671341            3.0279693604           -0.6596561074            0.0003712500
          3.6999986172            5.1801609993            2.9411239624           -0.6390517354            0.0017919531
          3.7999985218            4.7567243576            2.8737182617           -0.6188873649           -0.0013325781
          3.8999984264            4.5997233391            2.8405990601           -0.6147178411            0.0001758594
          3.9999983311            4.2728924751            2.7695007324           -0.6089985967            0.0005942187
