

#                 TEMP                   CHI_S                   C_V_S                     E_S                     M_S
# --------------------    --------------------    --------------------    --------------------    --------------------
          0.0000000000            0.0000000000            0.0000000000           -2.0000000000            1.0000000000
          0.1000000015            0.0000000000            0.0000000000           -2.0000000000            1.0000000000
          0.2000000030            0.0000000000            0.0000000000           -2.0000000000            1.0000000000
          0.3000000119            0.0000000000            0.0000000000           -2.0000000000            1.0000000000
          0.4000000060           -0.0000152588            0.0000610352           -1.9999996424            0.9999999404
          0.5000000000            0.0000152588            0.0000000000           -1.9999994040            0.9999998212
          0.6000000238            0.0000000000           -0.0000610352           -1.9999887943            0.9999971986
          0.7000000477            0.0000000000            0.0000610352           -1.9998985529            0.9999746084
          0.8000000715            0.0000000000            0.0001220703           -1.9996440411            0.9999104738
          0.9000000954           -0.0000152588            0.0001831055           -1.9989088774            0.9997242093
          1.0000001192           -0.0001068115            0.0001831055           -1.9971276522            0.9992685318
          1.1000001431           -0.0003967285           -0.0003662109           -1.9940303564            0.9984619617
          1.2000001669           -0.0014343262           -0.0016479492           -1.9884827137            0.9969886541
          1.3000001907           -0.0037384033            0.0026855469           -1.9802426100            0.9947636724
          1.4000002146           -0.0077056885            0.0415649414           -1.9678237438            0.9912972450
          1.5000002384           -0.0124206543            0.1532592773           -1.9510089159            0.9865007997
          1.6000002623           -0.0054168701            0.4194335938           -1.9283090830            0.9796658754
          1.7000002861            0.0302581787            0.8550415039           -1.8978580236            0.9700288177
          1.8000003099            0.1393585205            1.4478759766           -1.8596693277            0.9569419026
          1.9000003338            0.3535766602            2.1937255859           -1.8081943989            0.9376971126
          2.0000002384            0.7352447510            3.0897216797           -1.7465080023            0.9120914340
          2.1000001431           52.7407836914            4.3325805664           -1.6627218723           -0.7467488050
          2.2000000477          166.4297027588            6.4507446289           -1.5521820784            0.0622938275
          2.2999999523          127.3752517700            8.0624084473           -1.4099718332            0.0238557030
          2.3999998569           81.6828002930            8.2907714844           -1.2547899485           -0.0456538275
          2.4999997616           53.0069847107            6.7330627441           -1.1352332830           -0.0010576562
          2.5999996662           32.9680061340            5.3583679199           -1.0508420467           -0.0052432031
          2.6999995708           22.5338153839            4.5275573730           -0.9814762473            0.0069660936
          2.7999994755           17.6536159515            4.1981964111           -0.9207814336            0.0012482812
          2.8999993801           14.1291713715            3.8983001709           -0.8684423566            0.0057693748
          2.9999992847           11.3889474869            3.6757049561           -0.8325937390            0.0078895316
          3.0999991894            9.9072017670            3.4698944092           -0.8210064173            0.0013559374
          3.1999990940            8.7360582352            3.3060607910           -0.7931827903           -0.0014158593
          3.2999989986            7.5493631363            3.2328491211           -0.7689018250            0.0007581250
          3.3999989033            6.8740439415            3.1697082520           -0.7598375678            0.0005839063
          3.4999988079            6.0687541962            3.0102539062           -0.7385842204           -0.0018818750
          3.5999987125            5.5774717331            2.9085693359           -0.7144600153           -0.0004654687
          3.6999986172            5.2182626724            2.8869628906           -0.7080903053            0.0001040625
          3.7999985218            4.8580665588            2.8090362549           -0.6867178082            0.0024224219
          3.8999984264            4.5393095016            2.7692260742           -0.6682151556            0.0000675000
          3.9999983311            4.2765212059            2.7320022583           -0.6512498260            0.0010071875
